Churn,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaymentMethod,Monthly,Total,Cuentas_Diarias
Yes,1,Yes,No,40,Fiber optic,No,Yes,No,Yes,One year,Credit card (automatic),99.2,4062.2,3.307
No,0,Yes,Yes,19,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),24.9,467.7,0.83
No,0,No,No,70,DSL,No,No,No,Yes,Two year,Mailed check,40.05,2799.75,1.335
No,0,No,No,21,DSL,Yes,Yes,No,Yes,Two year,Credit card (automatic),71.05,1524.85,2.368
Yes,1,Yes,No,32,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,104.9,3351.55,3.497
No,1,Yes,Yes,29,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,103.95,2964.8,3.465
No,0,No,No,29,Fiber optic,No,No,No,No,Month-to-month,Electronic check,74.2,1993.25,2.473
No,0,Yes,No,25,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,95.15,2395.7,3.172
Yes,1,No,No,55,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,98.8,5617.75,3.293
No,0,Yes,No,55,Fiber optic,No,Yes,Yes,No,Month-to-month,Credit card (automatic),103.65,5676.65,3.455
Yes,0,No,Yes,2,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),94.2,193.8,3.14
No,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.7,39.85,0.69
Yes,0,No,No,62,Fiber optic,No,No,Yes,No,One year,Electronic check,96.75,6125.4,3.225
No,0,No,Yes,19,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,20.0,377.55,0.667
No,0,Yes,Yes,7,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.65,158.95,0.688
No,0,Yes,No,29,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),75.3,2263.4,2.51
No,0,Yes,No,29,DSL,No,No,No,No,Month-to-month,Mailed check,33.75,1009.25,1.125
Yes,0,No,No,12,Fiber optic,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),81.7,858.6,2.723
No,0,No,Yes,50,DSL,Yes,No,Yes,Yes,One year,Credit card (automatic),70.8,3478.15,2.36
No,0,Yes,Yes,67,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),111.2,7530.8,3.707
Yes,0,Yes,Yes,33,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),86.15,2745.7,2.872
No,0,Yes,Yes,37,DSL,Yes,Yes,No,No,One year,Bank transfer (automatic),75.1,2658.8,2.503
No,0,Yes,No,64,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.0,1584.8,0.833
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,89.9,89.9,2.997
No,0,No,No,8,Fiber optic,No,No,No,No,Month-to-month,Electronic check,74.85,572.45,2.495
Yes,0,No,No,9,DSL,No,No,No,No,Month-to-month,Mailed check,44.95,431.0,1.498
No,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.05,20.05,0.668
Yes,0,Yes,No,48,DSL,No,Yes,Yes,No,One year,Mailed check,34.7,1604.5,1.157
No,0,No,No,38,DSL,Yes,Yes,Yes,No,Month-to-month,Bank transfer (automatic),66.15,2522.4,2.205
No,0,No,Yes,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.2,50.6,0.673
No,0,No,No,32,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.9,601.55,0.663
No,0,No,No,3,DSL,No,No,No,Yes,Month-to-month,Mailed check,60.65,196.9,2.022
Yes,0,No,No,10,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,94.85,953.45,3.162
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Mailed check,85.8,85.8,2.86
Yes,0,Yes,No,3,Fiber optic,No,No,No,No,Month-to-month,Electronic check,95.2,292.85,3.173
No,0,No,No,3,DSL,No,No,No,No,Month-to-month,Credit card (automatic),34.8,113.95,1.16
No,0,Yes,Yes,56,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),81.25,4620.4,2.708
No,0,No,No,9,DSL,No,No,No,No,Month-to-month,Mailed check,24.6,190.1,0.82
No,1,No,No,53,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),73.8,4003.85,2.46
No,0,No,No,63,DSL,No,No,Yes,No,One year,Credit card (automatic),58.55,3503.5,1.952
No,0,No,No,35,DSL,Yes,No,No,No,Two year,Mailed check,55.25,1924.1,1.842
Yes,0,Yes,Yes,41,Fiber optic,No,No,Yes,Yes,One year,Electronic check,102.6,4213.35,3.42
No,0,No,No,13,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),25.15,331.85,0.838
No,0,Yes,Yes,14,DSL,Yes,Yes,No,No,Month-to-month,Mailed check,69.2,944.65,2.307
No,0,No,No,14,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.9,283.75,0.663
No,0,Yes,Yes,51,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,93.8,4539.35,3.127
Yes,0,No,No,1,DSL,No,No,No,No,Month-to-month,Electronic check,55.4,55.4,1.847
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Mailed check,69.95,69.95,2.332
No,0,Yes,No,68,DSL,Yes,No,No,Yes,One year,Bank transfer (automatic),55.9,3848.8,1.863
Yes,1,No,No,1,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,88.8,88.8,2.96
No,0,No,No,1,DSL,No,No,No,No,One year,Mailed check,25.85,25.85,0.862
No,0,No,No,60,Fiber optic,No,Yes,Yes,No,Two year,Electronic check,99.65,5941.05,3.322
Yes,1,No,No,7,Fiber optic,No,No,No,No,Month-to-month,Mailed check,73.75,545.15,2.458
No,0,Yes,Yes,23,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.4,478.75,0.68
No,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),82.3,5815.15,2.743
No,0,Yes,Yes,3,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,89.85,248.4,2.995
Yes,0,No,No,5,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),75.9,357.75,2.53
No,0,Yes,Yes,6,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.7,113.5,0.657
No,0,Yes,Yes,13,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.75,246.7,0.658
No,0,Yes,No,47,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.9,942.95,0.663
No,0,Yes,No,3,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),29.8,94.4,0.993
No,1,Yes,No,14,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,19.65,228.65,0.655
No,0,Yes,Yes,23,DSL,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),77.15,1759.4,2.572
No,0,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),92.0,6474.4,3.067
Yes,0,No,No,1,DSL,No,No,No,No,Month-to-month,Mailed check,43.95,43.95,1.465
No,0,No,No,66,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),103.1,6595.0,3.437
No,0,Yes,Yes,53,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.55,1336.1,0.852
No,0,No,No,11,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),79.0,929.3,2.633
Yes,0,No,No,61,Fiber optic,Yes,No,Yes,Yes,Two year,Credit card (automatic),111.6,6876.05,3.72
No,0,No,Yes,2,DSL,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),60.95,134.6,2.032
No,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),20.3,20.3,0.677
Yes,0,No,No,1,DSL,No,No,No,No,Month-to-month,Electronic check,35.45,35.45,1.182
Yes,0,Yes,Yes,67,Fiber optic,No,Yes,Yes,No,One year,Electronic check,87.4,5918.8,2.913
No,0,No,No,18,Fiber optic,No,No,No,No,Month-to-month,Mailed check,74.15,1387.0,2.472
No,0,Yes,No,18,Fiber optic,No,No,No,No,Month-to-month,Electronic check,94.75,1691.9,3.158
Yes,0,No,No,12,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),78.1,947.3,2.603
Yes,1,Yes,No,27,Fiber optic,Yes,No,No,Yes,Month-to-month,Bank transfer (automatic),104.3,2867.75,3.477
No,0,Yes,Yes,61,Fiber optic,Yes,Yes,Yes,No,One year,Credit card (automatic),100.7,6018.65,3.357
No,0,Yes,No,65,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),107.65,7082.85,3.588
No,0,No,No,41,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,20.0,810.3,0.667
No,0,Yes,Yes,19,DSL,No,No,No,No,Month-to-month,Credit card (automatic),50.1,910.45,1.67
Yes,0,No,No,2,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),49.05,91.1,1.635
Yes,1,Yes,No,2,Fiber optic,No,No,No,No,Month-to-month,Mailed check,86.85,156.35,2.895
No,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.95,82.9,0.665
No,0,Yes,Yes,25,DSL,Yes,No,No,Yes,Month-to-month,Electronic check,54.3,1296.8,1.81
Yes,0,Yes,Yes,60,Fiber optic,No,Yes,Yes,No,One year,Electronic check,90.95,5453.4,3.032
Yes,0,Yes,No,8,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),85.2,627.4,2.84
No,1,Yes,No,72,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),84.45,5899.85,2.815
No,0,No,No,5,DSL,Yes,No,Yes,No,Month-to-month,Mailed check,55.8,274.35,1.86
No,0,Yes,No,59,Fiber optic,Yes,No,Yes,No,One year,Credit card (automatic),81.25,4639.45,2.708
No,0,Yes,No,68,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.8,1911.5,0.86
No,0,Yes,Yes,54,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),24.05,1230.9,0.802
No,0,No,No,22,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),20.3,467.15,0.677
No,0,Yes,No,49,DSL,No,No,No,No,Month-to-month,Credit card (automatic),52.15,2583.75,1.738
No,0,Yes,Yes,51,Fiber optic,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),79.15,4018.55,2.638
No,0,Yes,Yes,19,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,25.6,485.9,0.853
No,0,No,Yes,2,Fiber optic,Yes,No,No,No,Month-to-month,Credit card (automatic),80.55,188.1,2.685
No,0,Yes,Yes,14,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,19.55,294.5,0.652
Yes,1,Yes,No,57,DSL,No,No,No,No,Month-to-month,Electronic check,44.85,2572.95,1.495
No,0,Yes,Yes,72,Fiber optic,Yes,Yes,No,Yes,Two year,Credit card (automatic),97.75,6991.6,3.258
No,0,No,No,63,Fiber optic,Yes,Yes,Yes,No,Two year,Credit card (automatic),98.0,6218.45,3.267
No,0,No,No,4,DSL,No,No,No,Yes,Month-to-month,Mailed check,64.4,253.0,2.147
No,0,Yes,No,17,DSL,Yes,Yes,No,No,One year,Mailed check,64.8,1175.6,2.16
Yes,0,No,No,6,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,85.35,489.45,2.845
Yes,0,No,No,56,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,94.45,5124.6,3.148
Yes,0,Yes,Yes,13,Fiber optic,No,No,No,No,Month-to-month,Electronic check,88.35,1222.8,2.945
Yes,0,Yes,No,6,DSL,No,No,No,Yes,Month-to-month,Electronic check,49.15,270.8,1.638
No,0,Yes,No,71,Fiber optic,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),93.25,6669.45,3.108
No,0,Yes,No,10,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.6,189.45,0.653
No,1,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),88.05,6425.65,2.935
No,0,Yes,No,69,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),24.95,1718.35,0.832
Yes,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.1,20.1,0.67
No,0,Yes,Yes,47,Fiber optic,Yes,No,Yes,No,Month-to-month,Electronic check,90.05,4137.2,3.002
No,0,Yes,No,60,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.5,1198.8,0.683
No,0,No,Yes,2,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.25,48.35,0.642
Yes,0,No,No,2,Fiber optic,No,No,No,No,Month-to-month,Electronic check,96.0,174.8,3.2
No,0,No,No,53,DSL,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),46.3,2546.85,1.543
No,0,Yes,Yes,34,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),90.05,3097.0,3.002
No,0,Yes,Yes,60,DSL,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),65.85,3928.3,2.195
No,1,No,No,55,Fiber optic,No,No,Yes,No,One year,Electronic check,100.15,5409.75,3.338
No,0,Yes,Yes,53,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,92.55,4779.45,3.085
Yes,0,No,No,5,DSL,No,No,Yes,No,One year,Mailed check,70.0,347.4,2.333
No,0,No,No,57,DSL,Yes,No,Yes,No,Month-to-month,Electronic check,53.75,3196.0,1.792
Yes,0,Yes,Yes,1,DSL,No,No,No,No,Month-to-month,Mailed check,45.85,45.85,1.528
No,0,No,No,61,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),86.45,5175.3,2.882
No,1,Yes,Yes,38,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,101.15,3741.85,3.372
No,0,No,No,60,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),104.95,6236.75,3.498
No,0,Yes,Yes,50,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.15,930.9,0.672
No,0,Yes,Yes,9,DSL,No,Yes,No,No,Month-to-month,Mailed check,55.3,501.2,1.843
No,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.7,1415.85,0.657
No,0,Yes,No,46,DSL,No,Yes,No,Yes,Two year,Credit card (automatic),64.2,3009.5,2.14
No,0,Yes,Yes,35,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,109.95,3782.4,3.665
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,71.35,71.35,2.378
No,0,No,No,23,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),19.65,478.1,0.655
Yes,0,No,No,1,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),100.25,100.25,3.342
No,1,Yes,No,21,DSL,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),64.95,1339.8,2.165
No,0,Yes,Yes,16,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.75,313.4,0.658
No,0,Yes,No,70,DSL,No,Yes,Yes,Yes,One year,Bank transfer (automatic),51.05,3635.15,1.702
No,0,No,No,66,Fiber optic,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),105.65,6844.5,3.522
Yes,0,No,No,1,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,91.7,91.7,3.057
No,0,No,Yes,14,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.95,268.4,0.665
No,0,Yes,Yes,46,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.25,890.35,0.675
Yes,0,No,Yes,49,Fiber optic,No,No,No,Yes,One year,Bank transfer (automatic),100.6,5069.65,3.353
No,0,Yes,Yes,3,Fiber optic,No,No,No,No,Month-to-month,Electronic check,80.7,239.45,2.69
No,0,Yes,Yes,34,Fiber optic,No,No,Yes,No,Month-to-month,Mailed check,84.05,2909.95,2.802
Yes,0,Yes,No,68,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),110.0,7611.85,3.667
Yes,0,Yes,Yes,50,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),84.4,4116.15,2.813
No,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,20.25,61.45,0.675
No,0,No,No,25,Fiber optic,No,No,No,No,Month-to-month,Mailed check,84.6,2088.05,2.82
No,1,No,No,19,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Mailed check,105.0,2007.25,3.5
No,0,No,No,65,Fiber optic,No,Yes,Yes,No,Two year,Credit card (automatic),105.1,6631.85,3.503
Yes,0,Yes,Yes,3,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),84.75,264.85,2.825
No,0,Yes,No,67,Fiber optic,Yes,No,Yes,Yes,One year,Electronic check,111.25,7511.65,3.708
No,0,No,No,8,Fiber optic,No,No,No,No,Month-to-month,Electronic check,75.25,576.7,2.508
No,0,Yes,No,67,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),70.9,4677.1,2.363
No,0,No,No,26,DSL,No,No,No,Yes,One year,Credit card (automatic),59.45,1507.0,1.982
Yes,1,Yes,No,57,Fiber optic,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),95.25,5427.05,3.175
Yes,0,No,No,39,Fiber optic,No,No,No,No,Month-to-month,Electronic check,75.25,3017.65,2.508
No,0,Yes,Yes,47,DSL,No,Yes,No,No,Month-to-month,Electronic check,54.25,2538.2,1.808
No,0,No,No,20,Fiber optic,No,No,No,Yes,Month-to-month,Mailed check,98.55,2031.95,3.285
Yes,0,Yes,No,17,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),70.4,1214.05,2.347
No,0,No,No,52,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),21.0,1107.2,0.7
No,0,Yes,No,61,Fiber optic,Yes,Yes,No,Yes,One year,Bank transfer (automatic),93.7,5860.7,3.123
Yes,1,No,No,8,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),94.45,742.95,3.148
No,1,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),89.1,6352.4,2.97
No,0,No,No,24,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),51.1,1269.6,1.703
No,1,No,No,4,Fiber optic,No,No,No,No,Month-to-month,Electronic check,69.35,261.65,2.312
Yes,0,No,No,26,Fiber optic,No,No,No,No,Month-to-month,Electronic check,83.95,2254.2,2.798
No,0,Yes,No,66,Fiber optic,Yes,Yes,No,Yes,One year,Electronic check,89.0,5898.6,2.967
No,0,Yes,Yes,65,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),91.55,5963.95,3.052
No,0,No,No,34,DSL,Yes,No,Yes,Yes,One year,Bank transfer (automatic),79.95,2727.3,2.665
No,0,Yes,Yes,45,DSL,Yes,No,Yes,Yes,Two year,Mailed check,81.0,3533.6,2.7
No,0,Yes,Yes,71,Fiber optic,Yes,Yes,Yes,No,Two year,Credit card (automatic),99.0,7061.65,3.3
Yes,0,No,No,18,DSL,No,No,Yes,Yes,One year,Credit card (automatic),82.0,1425.45,2.733
No,0,No,No,2,DSL,No,No,No,Yes,Month-to-month,Electronic check,70.3,132.4,2.343
Yes,0,Yes,No,8,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,74.5,609.9,2.483
Yes,0,Yes,Yes,3,DSL,No,No,No,Yes,Month-to-month,Mailed check,31.0,95.05,1.033
No,0,Yes,No,12,No,No internet service,No internet service,No internet service,No internet service,Two year,Electronic check,20.05,264.55,0.668
No,0,No,No,16,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,20.1,296.15,0.67
No,1,No,No,72,Fiber optic,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),110.1,7746.7,3.67
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,70.25,70.25,2.342
No,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.2,20.2,0.673
Yes,1,Yes,No,10,Fiber optic,No,No,No,No,Month-to-month,Electronic check,85.55,851.75,2.852
No,0,No,No,62,DSL,No,Yes,Yes,No,Two year,Credit card (automatic),43.6,2748.7,1.453
Yes,0,No,No,4,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,78.45,330.05,2.615
No,0,No,No,53,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),24.05,1301.9,0.802
No,0,Yes,Yes,52,Fiber optic,Yes,No,Yes,No,One year,Electronic check,100.3,5244.45,3.343
Yes,1,No,No,19,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,88.2,1775.8,2.94
No,0,No,Yes,18,DSL,No,No,No,No,Month-to-month,Credit card (automatic),45.65,747.2,1.522
No,1,Yes,No,51,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),29.45,1459.35,0.982
No,1,No,No,6,DSL,No,No,No,No,Month-to-month,Credit card (automatic),44.7,276.5,1.49
No,1,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),113.8,7845.8,3.793
No,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),116.6,8337.45,3.887
Yes,0,Yes,Yes,71,Fiber optic,No,Yes,Yes,No,Two year,Bank transfer (automatic),106.0,7723.7,3.533
No,1,No,No,57,DSL,No,Yes,Yes,No,Two year,Bank transfer (automatic),79.75,4438.2,2.658
No,0,Yes,No,58,DSL,Yes,Yes,Yes,No,Two year,Electronic check,86.1,4890.5,2.87
No,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),25.45,1813.35,0.848
No,0,Yes,Yes,72,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),84.7,5893.9,2.823
No,0,No,No,17,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.15,343.45,0.638
Yes,1,No,No,39,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),95.65,3759.05,3.188
No,0,Yes,Yes,8,DSL,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),56.3,401.5,1.877
No,0,No,No,68,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,1441.65,0.653
No,0,Yes,Yes,28,DSL,No,Yes,Yes,Yes,One year,Credit card (automatic),60.0,1682.05,2.0
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Mailed check,75.05,75.05,2.502
No,0,No,No,2,DSL,No,No,No,No,Month-to-month,Mailed check,45.25,74.2,1.508
No,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.45,1378.45,0.648
No,1,No,No,30,DSL,No,No,Yes,Yes,Two year,Credit card (automatic),69.1,2093.9,2.303
No,0,Yes,Yes,34,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),19.6,678.8,0.653
No,0,No,Yes,32,DSL,No,Yes,Yes,Yes,One year,Credit card (automatic),83.7,2633.3,2.79
No,0,Yes,Yes,6,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,25.4,153.3,0.847
No,0,Yes,No,45,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,25.5,1121.05,0.85
Yes,0,No,No,37,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),28.6,973.55,0.953
No,1,No,No,11,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,111.4,1183.05,3.713
No,1,No,No,2,Fiber optic,No,No,No,No,Month-to-month,Mailed check,72.6,154.3,2.42
Yes,1,Yes,No,1,Fiber optic,No,Yes,No,No,Month-to-month,Mailed check,76.4,76.4,2.547
No,0,Yes,Yes,23,DSL,Yes,No,No,Yes,Two year,Mailed check,34.6,813.45,1.153
No,0,No,No,29,DSL,Yes,No,No,No,Month-to-month,Electronic check,66.1,1912.15,2.203
No,0,Yes,Yes,68,Fiber optic,Yes,Yes,No,No,One year,Bank transfer (automatic),85.5,5696.6,2.85
No,0,Yes,No,17,DSL,Yes,No,Yes,No,Month-to-month,Mailed check,34.4,592.75,1.147
No,0,No,No,69,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.3,1447.9,0.643
No,1,Yes,No,59,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),64.05,3886.85,2.135
No,0,No,Yes,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.2,19.2,0.64
No,0,Yes,No,32,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),98.85,3145.9,3.295
No,1,Yes,No,29,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,79.3,2414.55,2.643
Yes,0,Yes,No,59,Fiber optic,No,No,No,No,One year,Electronic check,85.55,5084.65,2.852
No,0,Yes,Yes,28,DSL,Yes,No,Yes,Yes,One year,Mailed check,50.8,1386.8,1.693
Yes,0,No,No,15,Fiber optic,No,No,No,No,Month-to-month,Mailed check,76.0,1130.85,2.533
No,0,No,No,50,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),93.5,4747.5,3.117
Yes,1,No,No,5,DSL,No,No,No,No,Month-to-month,Electronic check,45.7,198.0,1.523
No,0,Yes,No,14,Fiber optic,No,No,No,No,Month-to-month,Electronic check,78.1,1122.4,2.603
No,0,No,No,20,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.5,413.0,0.65
No,0,No,No,3,Fiber optic,No,No,No,No,Month-to-month,Electronic check,92.0,266.8,3.067
Yes,1,No,No,35,Fiber optic,No,No,No,No,Month-to-month,Electronic check,95.45,3474.05,3.182
Yes,1,Yes,No,6,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,95.75,573.75,3.192
No,1,No,No,14,Fiber optic,No,No,No,No,Month-to-month,Electronic check,95.6,1273.3,3.187
No,0,No,No,23,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),96.9,2085.45,3.23
No,0,Yes,Yes,71,Fiber optic,Yes,Yes,Yes,No,One year,Bank transfer (automatic),104.65,7288.4,3.488
Yes,0,Yes,Yes,28,Fiber optic,Yes,Yes,No,No,One year,Electronic check,106.1,2847.4,3.537
No,0,Yes,No,64,Fiber optic,Yes,No,No,Yes,One year,Mailed check,96.9,6314.35,3.23
Yes,0,No,No,3,DSL,No,Yes,No,No,Month-to-month,Electronic check,50.6,155.35,1.687
Yes,0,No,No,34,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Mailed check,109.8,3587.25,3.66
Yes,0,No,No,1,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),49.95,49.95,1.665
Yes,1,No,No,33,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,110.45,3655.45,3.682
No,0,No,No,12,Fiber optic,No,No,No,No,Month-to-month,Electronic check,94.55,1173.55,3.152
No,1,Yes,No,72,Fiber optic,No,Yes,No,No,One year,Credit card (automatic),97.25,7133.1,3.242
No,1,Yes,No,36,DSL,No,No,Yes,Yes,One year,Credit card (automatic),54.1,1992.85,1.803
No,0,No,No,4,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,20.2,55.7,0.673
